时间,枪支型号,所用子弹
9.5-9.11,MP7 冲锋枪,4.6x30mm
9.12-9.18,ASh-12 战斗步枪,12.7x55mm
9.19-9.25,M7 战斗步枪,6.8x51mm
9.26-10.2,SVD 狙击步枪,7.62x54R
10.3-10.9,Vector 冲锋枪,.45
10.10-10.16,G3 战斗步枪,7.62x51mm
10.17-10.23,M250 通用机枪,6.8x51mm
10.24-10.30,P90 冲锋枪,5.7x28mm
10.31-11.6,KC17 突击步枪,5.45x39mm
11.7-11.13,M14 射手步枪,7.62x51mm
11.14-11.20,MK4 冲锋枪,4.6x30mm
11.21-11.27,SR-25 精确射手步枪,7.62×51mm
11.28-12.4,MK4 冲锋枪,4.6×30mm
12.5-12.11,PKM 通用机枪,7.62×54mm
12.12-12.18,QCQ171 冲锋枪,9×19mm
12.19-12.25,SR-3M 紧凑型突击步枪,9×39mm
12.26-1.1,K416 突击步枪,5.56×45mm
1.2-1.8,杠杆式步枪,.45-70
1.9-1.15,
1.16-1.22,AUG 突击步枪,5.56×45mm
1.23-1.29,MK47 突击步枪,7.62x39mm
1.30-2.5,AUG 突击步枪,5.56×45mm
2.6-2.12,M250 通用轻机枪,6.8×51mm
2.13-2.19,MP7 冲锋枪,4.6x30mm
2.20-2.26,MK47 突击步枪,7.62x39mm
2.27-3.5,MCX LT 突击步枪,.300BLK
3.6-3.12,PTR-32 突击步枪,7.62×39mm
3.13-3.19,MCX LT 突击步枪,.300BLK
3.20-3.26,MK47 突击步枪,7.62x39mm